,Weeks Until Event,D19 Bookings,D21 Bookings,GP21 Bookings,MSE21 Bookings,NP21 Bookings,SRM22 Bookings,SRM23 Bookings,Cumulative D19 Bookings,Cumulative D21 Bookings,Cumulative GP21 Bookings,Cumulative MSE21 Bookings,Cumulative NP21 Bookings,Cumulative SRM22 Bookings,Cumulative SRM23 Bookings
0,0,199,148,62,109,31,80,57,1082,667,765,1574,395,940,687
1,1,204,96,63,194,45,69,43,883,519,703,1465,364,860,630
2,2,49,79,42,288,27,156,186,679,423,640,1271,319,791,587
3,3,93,66,92,165,17,10,79,630,344,598,983,292,635,401
4,4,64,71,51,469,14,22,8,537,278,506,818,275,625,322
5,5,44,17,26,69,18,95,23,473,207,455,349,261,603,314
6,6,37,38,109,133,27,75,17,429,190,429,280,243,508,291
7,7,41,14,97,10,0,18,7,392,152,320,147,216,433,274
8,8,26,34,14,77,0,6,3,351,138,223,137,216,415,267
9,9,6,18,49,60,8,11,8,325,104,209,60,216,409,264
10,10,23,12,2,0,4,19,7,319,86,160,0,208,398,256
11,11,19,35,22,0,3,217,9,296,74,158,0,204,379,249
12,12,5,2,1,0,32,92,26,277,39,136,0,201,162,240
13,13,12,4,7,0,1,70,91,272,37,135,0,169,70,214
14,14,28,1,12,0,1,0,121,260,33,128,0,168,0,123
15,15,28,2,1,0,1,0,1,232,32,116,0,167,0,2
16,16,102,1,2,0,4,0,0,204,30,115,0,166,0,1
17,17,0,0,0,0,1,0,0,102,29,113,0,162,0,1
18,18,102,1,1,0,0,0,1,102,29,113,0,161,0,1
19,19,0,0,1,0,0,0,0,0,28,112,0,161,0,0
20,20,0,0,6,0,0,0,0,0,28,111,0,161,0,0
21,21,0,0,0,0,1,0,0,0,28,105,0,161,0,0
22,22,0,0,1,0,0,0,0,0,28,105,0,160,0,0
23,23,0,1,6,0,0,0,0,0,28,104,0,160,0,0
24,24,0,1,3,0,0,0,0,0,27,98,0,160,0,0
25,25,0,0,13,0,7,0,0,0,26,95,0,160,0,0
26,26,0,0,82,0,2,0,0,0,26,82,0,153,0,0
27,27,0,10,0,0,0,0,0,0,26,0,0,151,0,0
28,28,0,2,0,0,1,0,0,0,16,0,0,151,0,0
29,29,0,0,0,0,0,0,0,0,14,0,0,150,0,0
30,30,0,0,0,0,1,0,0,0,14,0,0,150,0,0
31,31,0,2,0,0,0,0,0,0,14,0,0,149,0,0
32,32,0,2,0,0,1,0,0,0,12,0,0,149,0,0
33,33,0,1,0,0,0,0,0,0,10,0,0,148,0,0
34,34,0,2,0,0,0,0,0,0,9,0,0,148,0,0
35,35,0,0,0,0,0,0,0,0,7,0,0,148,0,0
36,36,0,0,0,0,1,0,0,0,7,0,0,148,0,0
37,37,0,1,0,0,2,0,0,0,7,0,0,147,0,0
38,38,0,1,0,0,0,0,0,0,6,0,0,145,0,0
39,39,0,0,0,0,0,0,0,0,5,0,0,145,0,0
40,40,0,0,0,0,0,0,0,0,5,0,0,145,0,0
41,41,0,0,0,0,0,0,0,0,5,0,0,145,0,0
42,42,0,1,0,0,0,0,0,0,5,0,0,145,0,0
43,43,0,0,0,0,0,0,0,0,4,0,0,145,0,0
44,44,0,1,0,0,0,0,0,0,4,0,0,145,0,0
45,45,0,0,0,0,0,0,0,0,3,0,0,145,0,0
46,46,0,0,0,0,0,0,0,0,3,0,0,145,0,0
47,47,0,0,0,0,0,0,0,0,3,0,0,145,0,0
48,48,0,1,0,0,0,0,0,0,3,0,0,145,0,0
49,49,0,0,0,0,2,0,0,0,2,0,0,145,0,0
50,50,0,0,0,0,1,0,0,0,2,0,0,143,0,0
51,51,0,0,0,0,1,0,0,0,2,0,0,142,0,0
52,52,0,0,0,0,1,0,0,0,2,0,0,141,0,0
53,53,0,0,0,0,1,0,0,0,2,0,0,140,0,0
54,54,0,0,0,0,1,0,0,0,2,0,0,139,0,0
55,55,0,0,0,0,1,0,0,0,2,0,0,138,0,0
56,56,0,0,0,0,2,0,0,0,2,0,0,137,0,0
57,57,0,2,0,0,0,0,0,0,2,0,0,135,0,0
58,58,0,0,0,0,4,0,0,0,0,0,0,135,0,0
59,59,0,0,0,0,56,0,0,0,0,0,0,131,0,0
60,60,0,0,0,0,74,0,0,0,0,0,0,75,0,0
61,61,0,0,0,0,1,0,0,0,0,0,0,1,0,0
